67, F, W, Y,44000,168292,2,1
22, F, B, Y,60000,14641,4,3
48, F, B, N,46000,21279,2,0
30, F, B, Y,34000,120507,6,4
38, F, W, N,28000,48299,3,2
58, F, W, Y,24000,106015,4,3
36, M, W, Y,54000,168348,7,4
53, M, B, Y,59000,95381,2,1
66, F, B, N,63000,106744,2,0
63, M, B, Y,58000,161057,0,8
34, F, W, N,26000,73986,9,3
48, F, W, Y,32000,123374,1,9
42, F, B, Y,42000,30104,2,5
40, M, W, Y,35000,148484,3,2
46, F, B, Y,50000,50097,9,8
28, M, W, Y,45000,40223,6,8
53, F, W, Y,51000,26112,8,1
40, M, W, Y,21000,121500,5,6
23, M, W, Y,37000,21969,7,7
22, M, B, Y,29000,80866,9,7
31, M, W, N,24000,75671,2,0
41, M, W, N,21000,39869,5,2
42, M, B, N,44000,45509,9,0
21, M, B, N,41000,136822,3,9
34, F, W, Y,49000,135403,5,0
39, M, W, Y,46000,82620,0,0
29, F, B, Y,54000,55094,0,9
59, M, B, N,56000,24210,8,2
51, F, W, Y,60000,90813,7,2
41, M, W, Y,48000,91370,1,2
59, F, G, Y,51000,300057,3,0
41, F, W, N,25000,42383,1,0
30, F, W, N,29000,20089,1,4
27, M, B, N,45000,144273,4,5
65, F, W, N,63000,103793,2,6
63, M, B, N,38000,143190,7,9
37, M, W, N,38000,48513,8,5
48, F, B, Y,45000,100597,2,4
63, M, B, N,47000,123487,7,9
37, F, W, Y,52000,30868,1,8
41, F, B, N,54000,33514,6,2
59, M, B, N,64000,115925,3,0
31, M, W, N,33000,120474,7,2
44, M, B, Y,24000,112549,6,6
67, M, B, N,35000,120328,5,7
30, F, B, Y,51000,127975,1,5
20, M, B, Y,22000,71218,7,4
49, F, B, Y,62000,19404,9,2
35, M, B, Y,40000,168299,2,7
40, M, W, N,49000,153057,8,5
56, M, W, Y,42000,80921,6,0
49, M, W, Y,27000,58399,4,1
68, F, B, N,65000,47795,6,1
58, M, W, N,67000,33144,0,1
26, M, W, N,45000,25753,1,2
20, F, W, N,53000,74689,1,4
32, M, W, N,39000,87750,7,3
50, M, W, N,37000,153574,1,7
60, F, W, N,27000,25707,3,9
57, M, W, N,23000,124626,7,4
46, F, W, N,39000,153839,9,9
21, F, B, N,28000,11374,0,0
44, F, W, N,35000,68084,0,4
66, M, W, Y,59000,159398,0,3
21, M, W, Y,24000,157264,5,4
37, M, W, N,53000,154209,1,0
26, M, B, N,38000,141595,4,1
33, F, B, Y,69000,79295,8,8
23, M, W, Y,35000,154180,3,2
36, M, W, Y,28000,49962,3,0
58, F, B, N,50000,161098,2,5
64, F, B, Y,54000,78591,6,0
68, F, B, Y,51000,115733,1,3
62, M, B, N,23000,126930,9,7
31, F, W, N,57000,82947,0,9
42, M, B, Y,28000,81060,7,0
34, F, B, N,34000,88735,2,4
40, M, W, N,69000,64648,5,9
40, M, W, N,43000,130983,6,6
51, F, B, N,52000,106115,9,2
56, M, W, N,67000,26953,3,0
21, M, B, Y,49000,135345,0,7
47, M, B, N,32000,93130,0,3
29, M, B, Y,62000,45567,1,4
41, M, W, Y,23000,13031,7,6
28, M, W, N,60000,76014,4,8
26, M, B, Y,69000,168635,8,6
31, M, W, Y,33000,51015,5,7
20, F, W, Y,44000,151030,7,1
63, F, B, N,43000,51113,7,5
48, F, W, Y,20000,85920,2,4
67, M, B, Y,29000,11859,9,7
59, M, W, Y,44000,49603,1,1
65, F, W, Y,40000,105892,8,9
57, F, B, N,62000,91064,8,1
54, F, W, Y,28000,123936,8,4
63, M, B, N,68000,55784,5,5
35, F, W, N,27000,110342,5,3
32, F, W, Y,43000,46911,7,6
52, M, B, N,51000,68786,1,1
41, F, W, Y,28000,159408,6,1
56, F, B, N,57000,113771,9,6
34, F, B, N,26000,82800,0,9
47, F, B, Y,58000,83535,9,7
64, F, B, N,45000,168157,9,9
32, F, W, N,44000,70004,9,4
54, F, W, Y,59000,154922,7,7
28, F, W, Y,43000,161411,6,0
30, M, B, N,22000,113226,3,8
25, M, W, Y,56000,133206,4,1
30, F, W, N,31000,37300,9,8
63, F, W, N,51000,22880,9,2
69, M, W, Y,65000,165619,9,4
59, M, B, N,36000,164335,6,7
25, F, W, N,45000,143398,2,2
63, M, B, N,47000,97412,1,3
68, M, W, N,40000,143068,7,0
65, M, B, Y,43000,128217,5,7
21, M, W, Y,32000,58352,3,8
45, F, B, N,55000,75862,0,3
27, M, W, N,30000,127575,1,0
58, F, B, N,24000,21244,8,9
20, F, W, Y,37000,141823,6,3
40, F, W, N,41000,73492,2,7
28, F, W, Y,23000,33583,1,3
43, F, B, Y,46000,49703,5,7
23, M, W, Y,39000,41484,3,1
46, F, B, Y,27000,163599,9,4
50, M, B, N,50000,126770,7,6
51, F, W, N,62000,18720,4,2
51, F, B, N,43000,117122,1,3
67, M, W, Y,48000,121785,6,7
42, F, W, N,60000,13465,1,0
68, M, W, N,46000,91843,5,8
51, M, B, Y,59000,95370,5,3
64, M, B, N,28000,100841,2,5
32, M, W, Y,41000,20695,3,0
33, F, W, N,48000,121235,3,1
48, M, B, Y,54000,155067,9,2
35, M, W, N,66000,76261,1,3
57, F, B, Y,25000,86854,1,5
30, M, B, Y,25000,28504,1,8
26, F, W, N,42000,43234,9,1
46, F, W, Y,29000,62379,1,1
26, F, B, Y,45000,82995,0,4
47, F, B, Y,46000,36153,1,8
58, F, W, Y,37000,141686,8,0
57, F, B, N,58000,59133,9,4
47, F, W, Y,22000,44750,3,0
38, M, W, N,65000,29650,7,0
62, F, W, N,52000,84259,1,7
42, M, B, Y,34000,129450,3,7
43, F, B, Y,56000,74874,8,6
49, F, B, N,24000,50135,6,5
57, M, B, Y,68000,124667,1,4
54, M, B, Y,53000,47263,3,0
35, M, W, Y,47000,156413,1,7
35, M, B, Y,69000,77742,2,7
50, M, B, Y,35000,54989,7,8
33, M, B, N,63000,36143,7,5
55, F, B, N,65000,116501,5,6
55, F, W, N,53000,145548,3,5
66, M, W, N,47000,74766,1,6
61, F, W, N,60000,118568,7,2
33, F, W, Y,60000,140773,2,3
59, F, B, N,42000,64151,0,7
62, M, B, Y,60000,10741,4,0
62, M, W, Y,48000,75805,1,1
63, F, B, N,61000,158416,1,9
40, F, W, Y,67000,116867,0,2
38, M, B, Y,65000,167211,8,7
44, M, B, Y,49000,98427,2,9
39, M, B, N,20000,97833,4,9
35, F, B, Y,30000,85558,6,9
21, M, B, N,20000,47009,5,4
39, F, W, N,41000,127448,6,4
29, F, B, N,47000,132939,4,6
49, M, W, N,42000,47082,2,0
56, F, B, N,33000,143110,8,7
32, M, W, Y,35000,46086,7,2
55, F, W, Y,32000,40079,8,8
65, F, B, Y,30000,140366,6,9
22, M, B, N,46000,160866,6,5
46, M, B, N,35000,162154,5,3
22, M, B, N,69000,145573,1,3
30, F, W, N,24000,24108,1,8
42, F, W, Y,31000,150857,7,7
56, M, W, Y,35000,141067,9,5
55, M, W, N,58000,103883,6,8
36, M, W, N,56000,25102,9,1
28, F, B, Y,30000,152377,9,5
63, M, B, N,49000,149484,2,0
21, M, B, Y,61000,66411,8,6
66, F, W, Y,39000,57188,5,7
24, M, W, N,61000,27538,4,5
52, M, B, Y,30000,129569,5,0
25, M, W, Y,39000,160912,7,6
41, F, B, N,68000,70826,5,9
21, M, W, N,65000,46002,0,1
53, M, W, N,21000,163881,9,8
34, F, W, N,42000,121543,2,6
31, M, B, Y,43000,33300,0,6
28, M, W, N,20000,60337,7,0
34, M, B, Y,45000,90881,2,5
66, M, W, Y,29000,109530,4,8
62, F, B, Y,66000,159536,6,2
67, F, W, Y,46000,72000,5,0
60, M, W, Y,21000,51078,6,5
28, M, B, N,39000,84463,3,9
50, F, B, N,56000,33562,9,9
68, F, W, Y,28000,27942,7,1
69, F, B, N,33000,123783,1,7
52, F, B, N,44000,46211,5,6
65, F, W, Y,46000,60573,4,4
44, F, W, Y,31000,47840,3,2
21, M, B, Y,65000,94504,5,5
29, F, B, Y,59000,107473,6,7
30, F, W, Y,43000,49641,7,3
59, M, B, N,27000,41954,3,0
68, F, B, Y,35000,72954,2,9
56, F, W, N,23000,156939,0,1
56, M, W, Y,66000,127030,0,2
34, M, W, Y,69000,79605,6,0
38, F, B, N,56000,121691,8,2
69, M, B, Y,38000,153090,9,9
47, F, B, N,62000,60157,0,0
39, M, B, Y,31000,148288,5,0
45, M, W, N,39000,95379,5,3
39, M, W, N,45000,168616,3,9
54, F, W, Y,29000,112157,6,9
24, F, W, N,37000,23396,2,8
65, M, B, N,24000,90677,8,3
60, F, W, N,38000,105455,2,2
44, F, B, Y,32000,147090,4,7
48, M, B, N,54000,128584,3,3
32, F, W, Y,58000,146753,8,2
47, M, W, Y,22000,120470,9,7
20, F, B, N,22000,105765,0,8
24, F, W, Y,39000,106743,3,0
55, F, W, N,39000,76418,0,4
25, M, B, N,67000,81735,6,4
52, M, B, Y,50000,12188,5,0
32, F, B, N,36000,141611,3,6
56, F, W, Y,21000,147891,4,0
27, F, W, N,42000,55460,2,4
58, M, W, N,26000,70637,1,3
42, M, W, N,25000,150005,5,6
22, F, B, Y,29000,137188,6,5
40, M, B, Y,56000,143532,1,0
59, M, B, Y,32000,133368,0,7
49, M, B, N,38000,124675,4,2
35, F, W, Y,27000,31131,4,1
50, F, B, N,26000,71683,6,2
66, M, B, Y,29000,58931,8,6
26, F, W, Y,59000,107785,5,8
63, F, W, N,63000,60990,4,0
41, M, B, N,51000,48287,9,2
54, F, W, Y,61000,81128,5,1
37, F, B, Y,50000,35022,7,3
29, M, W, N,55000,146742,9,0
46, M, W, Y,59000,93777,1,3
61, M, W, N,60000,148585,4,0
67, M, B, Y,60000,10327,2,8
44, F, B, N,51000,111960,5,7
42, M, B, Y,68000,160690,5,6
25, F, W, Y,47000,74951,1,4
56, F, W, Y,60000,131248,0,3
62, M, W, N,44000,109327,7,8
58, F, W, Y,67000,164333,0,4
57, F, B, N,30000,99727,9,7
64, M, B, N,58000,104927,2,9
51, F, B, Y,48000,56773,7,5
68, F, W, N,56000,164082,6,3
29, F, W, Y,53000,19712,5,4
29, M, W, N,39000,14702,7,8
45, F, W, N,33000,84235,2,9
52, F, W, N,67000,135296,5,8
67, F, W, Y,39000,11079,8,3
54, M, B, Y,47000,77340,7,3
47, M, W, Y,26000,151050,3,6
44, F, B, N,30000,51865,0,7
58, M, W, N,32000,22080,6,3
50, F, W, N,28000,110895,9,3
23, F, B, Y,62000,33962,3,9
42, M, W, Y,29000,39374,5,7
53, F, B, N,41000,56364,7,7
48, F, W, N,69000,73185,6,9
47, M, B, Y,59000,85765,1,1
57, F, B, N,57000,38904,4,0
38, M, W, Y,23000,146932,6,0
63, F, W, N,52000,150904,4,0
29, F, B, Y,39000,124561,1,1
27, F, W, N,48000,21444,4,5
53, M, B, Y,26000,100711,9,7
39, M, W, Y,49000,159350,0,0
53, F, W, N,69000,53650,2,4
20, M, B, N,66000,32938,4,9
26, F, B, N,65000,53752,9,0
39, F, B, Y,36000,92781,7,5
47, M, B, N,62000,52045,2,5
44, M, B, Y,26000,149956,2,6
58, F, B, Y,64000,157061,5,4
65, M, B, N,45000,145399,1,1
55, M, W, N,32000,95603,6,2
57, F, W, Y,60000,105984,6,1
23, M, B, N,23000,113042,6,0
26, M, B, Y,38000,122955,5,5
47, F, B, N,66000,168794,9,8
26, F, B, N,22000,108344,4,7
62, M, W, N,58000,82577,3,9
36, F, W, N,64000,84981,6,1
37, F, B, Y,51000,127089,0,8
42, F, B, Y,43000,45741,6,0
52, M, W, N,69000,162726,1,6
57, M, W, Y,42000,57644,6,0
25, M, B, Y,68000,89966,7,2
29, F, W, Y,62000,46427,0,4
65, M, W, Y,65000,115047,4,2
27, F, B, Y,32000,17231,1,1
55, F, B, N,39000,164554,7,4
58, M, W, N,68000,67000,5,5
48, M, B, N,35000,64555,3,6
24, F, W, Y,68000,64254,6,9
54, F, W, N,38000,59895,6,9
68, F, B, Y,62000,31819,7,3
47, F, W, N,21000,169289,0,8
28, M, B, Y,39000,68180,9,9
21, F, B, N,65000,111827,1,5
68, M, B, N,35000,123049,0,8
55, M, B, N,26000,140518,8,4
60, F, W, N,36000,142792,2,6
57, M, W, Y,22000,118503,8,1
20, F, W, Y,61000,21332,7,5
49, F, B, Y,39000,133561,9,9
64, F, B, Y,35000,112163,9,5
49, M, W, Y,61000,66525,3,5
40, M, B, N,58000,57079,7,4
47, M, W, Y,39000,49243,6,4
34, M, W, Y,54000,127269,7,6
34, M, W, N,32000,107706,2,1
33, M, W, Y,69000,32387,1,3
68, F, W, Y,62000,45965,3,5
67, M, W, Y,45000,113219,4,3
21, F, W, N,46000,26462,6,1
46, F, B, Y,48000,113588,0,2
48, M, W, Y,54000,102407,9,2
66, F, W, Y,58000,47107,8,4
51, F, W, N,50000,37818,1,9
52, M, W, N,29000,34414,2,0
65, F, B, Y,32000,150853,6,9
22, M, B, N,43000,26502,5,8
55, F, W, Y,57000,116053,2,2
64, M, W, N,47000,49792,1,6
23, F, W, N,32000,61139,6,5
44, F, W, Y,21000,48545,4,1
50, F, W, Y,42000,13958,9,0
59, M, W, N,38000,40263,6,0
36, M, W, Y,69000,35233,5,5
67, F, W, N,43000,59688,8,3
42, F, W, N,45000,52724,8,3
50, M, B, Y,40000,47028,1,3
30, F, W, N,26000,52430,8,9
59, M, B, N,21000,36044,6,8
61, M, W, Y,35000,42457,3,9
65, F, B, N,31000,77611,9,6
42, F, B, N,63000,45179,7,0
58, F, B, N,47000,14376,1,6
49, M, B, N,35000,93313,6,8
67, F, B, Y,63000,62160,6,2
35, F, W, N,53000,85535,9,8
52, F, W, N,26000,153697,7,7
37, F, W, Y,57000,37264,7,9
34, M, B, N,30000,40362,1,0
59, F, B, N,33000,22232,3,4
48, F, W, Y,58000,107502,8,4
23, M, W, N,46000,100481,0,5
31, F, W, N,38000,18988,3,4
35, F, W, N,36000,88384,6,3
26, F, B, Y,33000,26629,6,3
39, M, W, Y,38000,26351,8,1
47, F, B, Y,55000,60061,2,5
30, M, B, Y,41000,159810,0,6
30, M, B, N,60000,72737,7,0
68, F, W, N,24000,89113,1,7
64, F, B, Y,63000,39651,3,7
51, M, B, Y,48000,143984,2,1
61, M, W, Y,29000,122411,7,0
48, M, B, Y,26000,78122,4,3
46, F, B, Y,44000,117294,0,2
38, F, B, N,24000,139611,8,3
35, F, W, Y,49000,61898,0,4
30, F, W, Y,38000,12732,8,5
64, M, B, Y,64000,76035,6,9
25, F, W, N,26000,126826,5,2
56, F, W, N,60000,112460,1,9
25, M, W, Y,65000,107816,7,9
31, M, W, N,40000,13097,7,4
40, M, W, Y,38000,68022,1,8
51, M, W, N,39000,146356,0,7
47, F, W, N,40000,69897,0,6
35, F, B, N,61000,61178,6,2
38, M, B, N,44000,19296,7,5
20, F, W, N,63000,153448,2,2
48, M, B, N,32000,43916,1,2
23, F, W, Y,36000,20365,9,8
61, M, W, Y,60000,12526,8,6
50, M, B, Y,24000,18435,3,6
57, M, B, N,34000,90614,3,8
35, M, B, Y,48000,100681,0,8
34, M, W, Y,50000,108073,6,4
36, M, B, Y,56000,128708,5,8
48, M, W, N,41000,34552,9,8
41, F, W, Y,38000,135252,1,7
48, F, W, N,58000,58104,6,3
28, M, B, N,53000,12828,7,1
21, M, W, N,60000,82742,3,4
26, F, B, Y,37000,64105,1,3
61, F, B, N,66000,100543,5,2
28, M, B, N,54000,49639,3,0
64, F, W, N,58000,53913,8,0
33, M, W, N,37000,168582,0,6
48, M, W, N,22000,83646,7,1
59, F, B, N,69000,87995,5,7
64, M, B, Y,42000,18398,1,3
46, F, B, N,56000,16387,0,8
69, F, B, Y,48000,41201,0,6
46, M, W, Y,27000,17115,9,4
64, F, W, N,28000,28646,3,5
35, M, B, N,41000,37254,6,6
33, M, B, N,57000,58354,0,4
59, F, B, N,57000,127572,7,6
66, F, W, N,42000,140362,0,6
41, F, B, N,69000,49240,3,1
28, M, B, Y,61000,148057,6,1
68, M, W, Y,42000,62889,4,1
21, F, W, N,62000,164267,0,7
25, F, B, Y,27000,95647,3,6
50, M, W, Y,35000,58148,0,1
66, M, W, Y,61000,121779,3,1
28, F, B, N,36000,28488,7,7
55, M, W, Y,53000,152561,1,4
49, M, W, N,66000,49046,5,8
52, F, B, Y,51000,30998,9,7
58, M, B, Y,45000,31567,2,9
53, M, B, N,48000,67028,9,7
25, F, B, Y,65000,162078,2,1
29, F, B, N,57000,68826,9,8
45, F, B, N,43000,106104,2,9
39, M, B, Y,43000,125840,0,1
31, F, B, N,66000,138429,6,0
63, F, W, N,51000,139174,0,2
49, M, B, N,44000,93016,7,6
28, F, W, N,55000,94958,8,5
37, M, W, Y,27000,68720,1,2
61, F, W, N,42000,76315,7,3
38, M, B, Y,25000,146424,4,2
21, M, W, N,30000,169559,7,1
54, M, W, Y,24000,93204,1,9
54, M, B, N,52000,140244,6,9
38, M, W, N,40000,69170,9,5
63, F, W, N,34000,74698,4,6
50, M, B, N,56000,32593,7,2
54, F, W, N,34000,22653,9,6
56, F, B, Y,43000,58950,1,5
31, M, W, Y,32000,76607,3,9
47, M, W, N,29000,149509,7,2
64, F, B, Y,59000,123542,6,2
69, M, W, N,67000,65080,4,8
43, F, W, N,55000,144614,2,1
53, M, W, Y,56000,80558,0,7
60, M, W, Y,38000,58451,5,8
35, F, B, Y,26000,75882,7,9
52, F, W, N,69000,63682,7,2
66, M, W, Y,40000,19031,5,0
29, F, B, N,68000,76312,5,0
26, F, W, N,60000,136695,4,7
50, F, W, N,26000,97584,5,6
26, F, B, Y,65000,68228,2,1
28, M, B, Y,66000,27936,7,6
24, F, W, N,59000,18519,4,1
20, M, B, Y,59000,42695,1,1
30, F, W, Y,29000,85409,3,5
50, F, B, N,20000,125115,3,5
42, M, B, Y,28000,57269,6,8
44, F, W, Y,22000,112407,8,3
52, M, W, Y,31000,96370,6,2
59, F, B, N,31000,50356,4,4
65, F, W, N,28000,43670,1,3
48, M, W, N,67000,52180,9,9
22, F, B, N,47000,80642,5,3
30, F, W, N,22000,17235,7,9
59, M, B, Y,21000,83767,3,5
69, M, B, N,66000,85204,4,5
